
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Городские поселения;183;358;145;-106;-172;-132;-104;-89;37;;-39;55;
в пределах России;;;;;;;;;;;;;
Городские поселения;66;114;-13;-49;-237;-159;-119;-112;-56;;-116;39;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;4;9;57;-13;-43;-63;34;-60;18;;-24;12;
межрегиональная;;;;;;;;;;;;;
Городские поселения;62;105;-70;-36;-194;-96;-153;-52;-74;;-92;27;
международная;;;;;;;;;;;;;
Городские поселения;117;244;158;-57;65;27;15;23;93;;77;16;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;97;224;152;-56;62;32;13;20;89;;73;10;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;20;20;6;-1;3;-5;2;3;4;;4;6;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;179;349;88;-93;-129;-69;-138;-29;19;;-15;43;
Новоладожское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-1;7;132;-149;-56;-17;-135;-77;1;;-23;-32;
в пределах России;;;;;;;;;;;;;
Городские поселения;-18;-58;-4;-12;-62;-17;-135;-91;-27;;-48;-24;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-38;-27;-16;-5;-6;8;-63;-48;-3;;-19;-12;
межрегиональная;;;;;;;;;;;;;
Городские поселения;20;-31;12;-7;-56;-25;-72;-43;-24;;-29;-12;
международная;;;;;;;;;;;;;
Городские поселения;17;65;136;-137;6;0;0;14;28;;25;-8;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;14;63;139;-138;7;0;2;14;26;;26;-5;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;3;2;-3;1;-1;;-2;;2;;-1;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;37;34;148;-144;-50;-25;-72;-29;4;;-4;-20;
Сясьстройское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;24;-63;234;-239;14;-79;-23;-167;-2;;38;43;
в пределах России;;;;;;;;;;;;;
Городские поселения;17;-87;47;-50;13;-81;-25;-172;-24;;21;36;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-18;-43;89;-11;43;-26;1;-98;-36;;30;0;
межрегиональная;;;;;;;;;;;;;
Городские поселения;35;-44;-42;-39;-30;-55;-26;-74;12;;-9;36;
международная;;;;;;;;;;;;;
Городские поселения;7;24;187;-189;1;2;2;5;22;;17;7;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;11;23;183;-188;2;0;1;4;18;;17;8;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-4;1;4;-1;-1;2;1;1;4;;;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;42;-20;145;-228;-29;-53;-24;-69;34;;8;43;
Вындиноостровское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;64;30;1;-33;3;-6;-20;-30;-6;;23;-2;
в пределах России;;;;;;;;;;;;;
Сельские поселения;55;29;-21;-28;-2;-5;-19;-30;-3;;19;-9;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;12;7;-12;-15;-4;-17;-17;-27;-5;;17;-2;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;43;22;-9;-13;2;12;-2;-3;2;;2;-7;
международная;;;;;;;;;;;;;
Сельские поселения;9;1;22;-5;5;-1;-1;;-3;;4;7;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;0;21;-5;4;-1;-2;;-1;;2;7;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;1;1;;1;;1;;-2;;2;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;52;23;13;-18;7;11;-3;-3;-1;;6;0;
Иссадское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;80;71;10;5;-1;-43;4;-10;-27;-4;-3;-4;
в пределах России;;;;;;;;;;;;;
Сельские поселения;71;51;4;20;-6;-42;2;-11;-29;-6;-7;-4;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;21;24;2;3;0;-15;9;5;-30;-6;-19;-3;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;50;27;2;17;-6;-27;-7;-16;1;0;12;-1;
международная;;;;;;;;;;;;;
Сельские поселения;9;20;6;-15;5;-1;2;1;2;2;4;0;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;5;22;2;-15;3;0;4;1;2;3;4;0;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;4;-2;4;0;2;-1;-2;;;-1;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;59;47;8;2;-1;-28;-5;-15;3;2;16;-1;
Колчановское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;18;-35;9;-85;-4;-33;-31;-48;-78;-47;-19;4;
в пределах России;;;;;;;;;;;;;
Сельские поселения;4;-78;-73;-3;-9;-33;-33;-58;-84;-54;-23;-8;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-10;-44;-9;10;-7;-20;-12;-42;-37;-32;-13;7;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;14;-34;-64;-13;-2;-13;-21;-16;-47;-22;-10;-15;
международная;;;;;;;;;;;;;
Сельские поселения;14;43;82;-82;5;;2;10;6;7;4;12;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;11;43;81;-83;4;;2;10;7;7;4;12;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;;1;1;1;;;;-1;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;28;9;18;-95;3;-13;-19;-6;-41;-15;-6;-3;
Пашское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;118;144;63;-153;-42;-85;-55;9;-14;-8;-25;-53;
в пределах России;;;;;;;;;;;;;
Сельские поселения;106;41;-12;-40;-35;-93;-56;-5;-34;-30;-37;-52;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;8;-4;-13;-29;-30;-24;-25;-11;-29;-11;-50;-22;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;98;45;1;-11;-5;-69;-31;6;-5;-19;13;-30;
международная;;;;;;;;;;;;;
Сельские поселения;12;103;75;-113;-7;8;1;14;20;22;12;-1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;9;103;72;-116;-2;7;1;13;21;20;12;-1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;;3;3;-5;1;;1;-1;2;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;110;148;76;-124;-12;-61;-30;20;15;3;25;-31;
Потанинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;21;-3;-10;18;0;0;-3;9;-8;;21;-8;
в пределах России;;;;;;;;;;;;;
Сельские поселения;20;-6;-15;7;-4;-2;-6;9;-12;;16;-5;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-2;-10;-12;-2;-4;0;-20;-3;-11;;5;-6;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;22;4;-3;9;0;-2;14;12;-1;;11;1;
международная;;;;;;;;;;;;;
Сельские поселения;1;3;5;11;4;2;3;0;4;;5;-3;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;1;2;6;11;2;2;3;1;4;;5;-3;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;-1;;2;;;-1;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;23;7;2;20;4;0;17;12;3;;16;-2;
Бережковское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;20;58;-17;-3;0;8;-18;24;-23;32;-8;-22;
в пределах России;;;;;;;;;;;;;
Сельские поселения;5;28;-34;-4;-2;-1;-18;23;-33;9;-20;-23;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-21;1;-22;-10;-2;-12;3;5;-32;-3;-6;-20;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;26;27;-12;6;0;11;-21;18;-1;12;-14;-3;
международная;;;;;;;;;;;;;
Сельские поселения;15;30;17;1;2;9;0;1;10;23;12;1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;14;28;17;-1;3;9;0;1;9;23;12;1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;2;;2;-1;;;;1;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;41;57;5;7;2;20;-21;19;9;35;-2;-2;
Селивановское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;1;75;61;-69;3;4;-12;-23;-19;-4;10;-9;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-7;46;-20;-11;2;1;-12;-29;-28;-8;9;-11;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-6;-5;-11;-8;3;-8;-18;-20;-4;-9;-4;-6;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-1;51;-9;-3;-1;9;6;-9;-24;1;13;-5;
международная;;;;;;;;;;;;;
Сельские поселения;8;29;81;-58;1;3;;6;9;4;1;2;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;4;27;78;-58;3;3;;6;7;3;1;2;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;4;2;3;;-2;;;;2;1;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;7;80;72;-61;0;12;6;-3;-15;5;14;-3;
Староладожское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;64;14;9;-44;-46;-19;-6;-12;8;-20;16;-7;
в пределах России;;;;;;;;;;;;;
Сельские поселения;62;2;-25;-13;-48;-21;-8;-11;0;-31;18;-5;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;10;-8;-5;-15;-27;-2;-11;-21;-3;-40;12;-7;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;52;10;-20;2;-21;-19;3;10;3;9;6;2;
международная;;;;;;;;;;;;;
Сельские поселения;2;12;34;-31;2;2;2;-1;8;11;-2;-2;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;2;11;33;-30;2;1;1;-3;9;11;-2;-1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;1;-1;;1;1;2;-1;;;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;54;22;14;-29;-19;-17;5;9;11;20;4;0;
Усадищенское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;29;15;15;24;3;-11;-2;11;-10;-5;-3;-16;
в пределах России;;;;;;;;;;;;;
Сельские поселения;19;13;4;22;-1;-16;-5;4;-13;-10;-12;-27;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;14;8;8;-3;-2;-13;-21;-2;-17;-12;-15;-25;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;5;5;-4;25;1;-3;16;6;4;2;3;-2;
международная;;;;;;;;;;;;;
Сельские поселения;10;2;11;2;4;5;3;7;3;5;9;11;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;10;2;11;2;4;5;3;7;2;5;9;12;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;;;;;;1;;;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;15;7;7;27;5;2;19;13;7;7;12;9;
Хваловское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-40;-30;-9;1;-2;-13;-28;-19;-32;-2;4;-14;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-43;-33;-12;0;-7;-15;-28;-18;-33;-4;-1;-14;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-9;11;;-1;-7;-12;-29;-16;-25;-1;-7;-7;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-34;-44;-12;1;0;-3;1;-2;-8;-3;6;-7;
международная;;;;;;;;;;;;;
Сельские поселения;3;3;3;1;5;2;0;-1;1;2;5;0;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;2;3;3;0;5;2;;-1;1;2;5;0;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;;;1;;;0;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-31;-41;-9;2;5;-1;1;-3;-7;-1;11;-7;
Кисельнинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;76;84;65;-72;-22;6;6;11;8;21;11;19;
в пределах России;;;;;;;;;;;;;
Сельские поселения;62;58;-2;-24;-32;-4;-6;-1;-10;3;-9;4;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;40;18;-11;-22;-25;-8;-10;-12;-13;-11;2;-13;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;22;40;9;-2;-7;4;4;11;3;14;-11;17;
международная;;;;;;;;;;;;;
Сельские поселения;14;26;67;-48;10;10;12;12;18;18;20;15;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;13;25;57;-50;10;9;13;13;11;17;15;15;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;1;10;2;0;1;-1;-1;7;1;5;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;36;66;76;-50;3;14;16;23;21;32;9;32;
Свирицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;21;-12;61;-56;2;16;-21;11;-8;;8;7;
в пределах России;;;;;;;;;;;;;
Сельские поселения;20;-12;3;0;1;14;-21;8;-7;;6;5;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-2;-7;-2;-1;-2;-5;-4;2;-1;;3;-4;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;22;-5;5;1;3;19;-17;6;-6;;3;9;
международная;;;;;;;;;;;;;
Сельские поселения;1;;58;-56;1;2;0;3;-1;;2;2;
